分类,故障模式,故障场景,故障注入手段,优先级,自动化状态,自动化用例路径,SMTX OS 5.1.0 测试,SMTX OS 5.0.6 测试,SMTX OS 5.1.1 测试,SMTX OS 6.0.0 测试
CPU,,一个 ZBS Metad Follower 所在的主节点的一个 CPU Core 利用率超过 95%,,P2,Automated,testcases.fault.node.os.fault_node_cpu_stressor,,,,
CPU,,Zookeeper Leader 所在的节点的一个 CPU Core 利用率超过 95%,,P1,Automated,testcases.fault.node.os.fault_node_cpu_stressor,,,,
CPU,,一个 Zookeeper Follower 所在的节点的一个 CPU Core 利用率超过 95%,,P2,Automated,testcases.fault.node.os.fault_node_cpu_stressor,,,,
CPU,,ZBS Taskd Leader 所在的节点的一个 CPU Core 利用率超过 95%,,P1,Automated,testcases.fault.node.os.fault_node_cpu_stressor,,,,
CPU,,一个 ZBS Taskd Follower 所在的节点的一个 CPU Core 利用率超过 95%,,P2,Automated,testcases.fault.node.os.fault_node_cpu_stressor,,,,
CPU,,ZBS NTPd Leader 所在的节点的一个 CPU Core 利用率超过 95%,,P1,Automated,testcases.fault.node.os.fault_node_cpu_stressor,,,,
CPU,,一个 ZBS NTPd Follower 所在的节点的一个 CPU Core 利用率超过 95%,,P2,Automated,testcases.fault.node.os.fault_node_cpu_stressor,,,,
CPU,,Primary MongoDB 所在的节点的一个 CPU Core 利用率超过 95%,,P1,Automated,testcases.fault.node.os.fault_node_cpu_stressor,,,,
CPU,,一个 Secondary MongoDB 所在的节点的一个 CPU Core 利用率超过 95%,,P2,Automated,testcases.fault.node.os.fault_node_cpu_stressor,,,,
CPU,,运行 Prometheus 服务的节点的一个 CPU Core 利用率超过 95%,,P1,Automated,testcases.fault.node.os.fault_node_cpu_stressor,,,,
CPU,,Siren Leader 所在的节点的一个 CPU Core 利用率超过 95%,,P1,Automated,testcases.fault.node.os.fault_node_cpu_stressor,,,,
CPU,,NTPm Leader 所在的节点的一个 CPU Core 利用率超过 95%,,P1,Automated,testcases.fault.node.os.fault_node_cpu_stressor,,,,
CPU,,一个 NTPm Follower 所在的节点的一个 CPU Core 利用率超过 95%,,P2,Automated,testcases.fault.node.os.fault_node_cpu_stressor,,,,
CPU,,集群内 NTP Server 所在的节点的一个 CPU Core 利用率超过 95%,,P1,Automated,testcases.fault.node.os.fault_node_cpu_stressor,,,,
CPU,,一个非集群内 NTP Server 所在的节点的一个 CPU Core 利用率超过 95%,,P2,Automated,testcases.fault.node.os.fault_node_cpu_stressor,,,,
CPU,,一个存储节点的一个 CPU Core 利用率超过 95%,,P2,Automated,testcases.fault.node.os.fault_node_cpu_stressor,,,,
CPU,,双活集群的仲裁节点的一个 CPU Core 利用率超过 95%,,P3,Automated,testcases.fault.node.os.fault_node_cpu_stressor,,,,
