分类,故障模式,故障场景,故障注入手段,优先级,自动化状态,自动化用例路径,SMTX OS 5.1.0 测试,SMTX OS 5.0.6 测试,SMTX OS 5.1.1 测试,SMTX OS 6.0.0 测试
Node,下电（优雅关机）,一个 Secondary MongoDB 所在的节点下电，等待至少 24 小时后上电,,P1,Automated,testcases.fault.node.power.fault_node_power_outage,,,,
Node,下电（优雅关机）,（5 主节点集群或双活集群）两个 Secondary MongoDB 所在的节点同时下电，等待 3～30 分钟后上电,,P2,Automated,testcases.fault.node.power.fault_node_power_outage,,,,
Node,下电（优雅关机）,（5 主节点集群或双活集群）两个 Secondary MongoDB 所在的节点同时下电，等待至少 24 小时后上电,,P2,Automated,testcases.fault.node.power.fault_node_power_outage,,,,
Node,下电（优雅关机）,运行 Prometheus 服务的节点下电，等待 3～30 分钟后上电,,P1,Automated,testcases.fault.node.power.fault_node_power_outage,,,,
Node,下电（优雅关机）,运行 Prometheus 服务的节点下电，等待至少 24 小时后上电,,P2,Automated,testcases.fault.node.power.fault_node_power_outage,,,,
Node,下电（优雅关机）,Siren Leader 所在的节点下电，等待 3～30 分钟后上电,,P1,Automated,testcases.fault.node.power.fault_node_power_outage,,,,
Node,下电（优雅关机）,Siren Leader 所在的节点下电，等待至少 24 小时后上电,,P2,Automated,testcases.fault.node.power.fault_node_power_outage,,,,
Node,下电（优雅关机）,NTPm Leader 所在的节点下电，等待 3～30 分钟后上电,,P1,Automated,testcases.fault.node.power.fault_node_power_outage,,,,
Node,下电（优雅关机）,NTPm Leader 所在的节点下电，等待至少 24 小时后上电,,P2,Automated,testcases.fault.node.power.fault_node_power_outage,,,,
Node,下电（优雅关机）,一个 NTPm Follower 所在的节点下电，等待 3～30 分钟后上电,,P2,Automated,testcases.fault.node.power.fault_node_power_outage,,,,
Node,下电（优雅关机）,一个 NTPm Follower 所在的节点下电，等待至少 24 小时后上电,,P2,Automated,testcases.fault.node.power.fault_node_power_outage,,,,
Node,下电（优雅关机）,集群内 NTP Server 所在的节点下电，等待 3～30 分钟后上电,,P1,Automated,testcases.fault.node.power.fault_node_power_outage,,,,
Node,下电（优雅关机）,集群内 NTP Server 所在的节点下电，等待至少 24 小时后上电,,P2,Automated,testcases.fault.node.power.fault_node_power_outage,,,,
Node,下电（优雅关机）,一个非集群内 NTP Server 所在的节点下电，等待 3～30 分钟后上电,,P2,Automated,testcases.fault.node.power.fault_node_power_outage,,,,
